HH_ID,repeat_instance,collection_date,village,total_num_mosq_in_hh,abdominal_status,species_type,collection_week,collection_month_year_combo,sample_id_mosquito,sample_id_head,HbtubCT1_h,HbtubCT2_h,pfr364CT1_h,pfr364CT2_h,pfr364Q1_h,pfr364Q2_h,pf_pcr_infection_status_sample_level_h,pfr364Q_combined_h,hb_status_sample_level_h,sample_id_abdomen,HbtubCT1_a,HbtubCT2_a,pfr364CT1_a,pfr364CT2_a,pfr364Q1_a,pfr364Q2_a,pf_pcr_infection_status_sample_level_a,pfr364Q_combined_a,hb_status_sample_level_a,pf_infection_status_mosquito_level,hb_status_mosquito_level
K02,1,2017-06-19,Kinesamo,2,Blood Fed,Un-identified,25,6-2017,K02 00001,K02 H00001,35.977,NA,NA,NA,NA,NA,negative,NA,positive,K02 A00001,NA,35.779,NA,NA,NA,NA,negative,NA,positive,negative,positive
K02,1,2017-06-19,Kinesamo,2,Half Gravid,Un-identified,25,6-2017,K02 00002,K02 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,K02 A00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K07,1,2017-06-19,Kinesamo,4,Blood Fed,Un-identified,25,6-2017,K07 00001,K07 H00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,K07 A00001,35.565,36.875,NA,NA,NA,NA,negative,NA,positive,negative,positive
K07,1,2017-06-19,Kinesamo,4,Blood Fed,Un-identified,25,6-2017,K07 00002,K07 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,K07 A00002,35.943,NA,NA,NA,NA,NA,negative,NA,positive,negative,positive
K07,1,2017-06-19,Kinesamo,4,Blood Fed,Un-identified,25,6-2017,K07 00003,K07 H00003,NA,NA,28.88,28.899,2.48e-4,2.45e-4,positive,2.465e-4,negative,K07 A00003,37.36,39.465,30.052,29.365,1.24e-4,1.86e-4,positive,1.55e-4,positive,positive,positive
K07,1,2017-06-19,Kinesamo,4,Unfed,Un-identified,25,6-2017,K07 00004,K07 H00004,NA,NA,NA,NA,NA,NA,negative,NA,negative,K07 A00004,37.376,NA,NA,NA,NA,NA,negative,NA,positive,negative,positive
K05,1,2017-06-19,Kinesamo,1,Unfed,Un-identified,25,6-2017,K05 00001,K05 H00001,36.2,NA,NA,NA,NA,NA,negative,NA,positive,K05 A00001,34.166,NA,NA,NA,NA,NA,negative,NA,positive,negative,positive
K09,1,2017-06-19,Kinesamo,2,Blood Fed,Un-identified,25,6-2017,K09 00001,K09 H00001,33.02,33.474,NA,NA,NA,NA,negative,NA,positive,K09 A00001,32.697,33.562,NA,NA,NA,NA,negative,NA,positive,negative,positive
K09,1,2017-06-19,Kinesamo,2,Blood Fed,Un-identified,25,6-2017,K09 00002,K09 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,K09 A00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K12,1,2017-06-19,Kinesamo,5,Blood Fed,Un-identified,25,6-2017,K12 00001,K12 H00001,33.298,33.657,NA,NA,NA,NA,negative,NA,positive,K12 A00001,34.724,35.486,NA,NA,NA,NA,negative,NA,positive,negative,positive
K12,1,2017-06-19,Kinesamo,5,Blood Fed,Un-identified,25,6-2017,K12 00002,K12 H00002,34.765,34.753,NA,NA,NA,NA,negative,NA,positive,K12 A00002,31.65,31.507,NA,NA,NA,NA,negative,NA,positive,negative,positive
K12,1,2017-06-19,Kinesamo,5,Blood Fed,Un-identified,25,6-2017,K12 00003,K12 H00003,39.685,37.211,NA,NA,NA,NA,negative,NA,positive,K12 A00003,37.358,37.606,NA,NA,NA,NA,negative,NA,positive,negative,positive
K12,1,2017-06-19,Kinesamo,5,Blood Fed,Un-identified,25,6-2017,K12 00004,K12 H00004,35.98,35.794,NA,NA,NA,NA,negative,NA,positive,K12 A00004,37.547,38.024,NA,NA,NA,NA,negative,NA,positive,negative,positive
K12,1,2017-06-19,Kinesamo,5,Blood Fed,Un-identified,25,6-2017,K12 00005,K12 H00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,K12 A00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K13,1,2017-06-19,Kinesamo,1,Blood Fed,An. gambiae,25,6-2017,K13 00001,K13 H00001,35.207,35.064,NA,NA,NA,NA,negative,NA,positive,K13 A00001,34.968,34.922,NA,NA,NA,NA,negative,NA,positive,negative,positive
M13,1,2017-06-20,Maruti,6,Blood Fed,Un-identified,25,6-2017,M13 00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M13 A00001,33.3,33.83,NA,36.125,NA,4e-6,positive,4e-6,positive,positive,positive
M13,1,2017-06-20,Maruti,6,Blood Fed,Un-identified,25,6-2017,M13 00002,M13 H00002,NA,34.498,36.582,NA,3e-6,NA,positive,3e-6,positive,M13 A00002,30.593,30.199,35.716,37.247,5e-6,2e-6,positive,3.5000000000000004e-6,positive,positive,positive
M13,1,2017-06-20,Maruti,6,Blood Fed,Un-identified,25,6-2017,M13 00003,M13 H00003,35.128,34.745,36.364,NA,4e-6,NA,positive,4e-6,positive,M13 A00003,31.865,31.431,34.291,37.05,1.2e-5,2e-6,positive,7e-6,positive,positive,positive
M13,1,2017-06-20,Maruti,6,Blood Fed,Un-identified,25,6-2017,M13 00004,M13 H00004,33.328,33.638,37.136,36.675,2e-6,3e-6,positive,2.4999999999999998e-6,positive,M13 A00004,35.863,33.963,36.438,35.166,3e-6,7e-6,positive,4.9999999999999996e-6,positive,positive,positive
M13,1,2017-06-20,Maruti,6,Unfed,Un-identified,25,6-2017,M13 00005,M13 H00005,35.374,34.744,NA,NA,NA,NA,negative,NA,positive,M13 A00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,positive
M13,1,2017-06-20,Maruti,6,Unfed,Un-identified,25,6-2017,M13 00006,M13 H00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,M13 A00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M07,2,2017-06-20,Maruti,1,Blood Fed,Un-identified,25,6-2017,M07 00017,M07 H00017,NA,33.614,NA,NA,NA,NA,negative,NA,positive,M07 A00017,32.815,34.047,34.501,36.125,6e-6,2e-6,positive,4e-6,positive,positive,positive
M06,1,2017-06-20,Maruti,10,Blood Fed,Un-identified,25,6-2017,M06 00001,M06 H00001,35.528,34.366,NA,NA,NA,NA,negative,NA,positive,M06 A00001,37.437,34.788,NA,NA,NA,NA,negative,NA,positive,negative,positive
M06,1,2017-06-20,Maruti,10,Blood Fed,Un-identified,25,6-2017,M06 00002,M06 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,M06 A00002,NA,35.148,NA,NA,NA,NA,negative,NA,positive,negative,positive
M06,1,2017-06-20,Maruti,10,Blood Fed,Un-identified,25,6-2017,M06 00003,M06 H00003,35.997,NA,NA,NA,NA,NA,negative,NA,positive,M06 A00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,positive
M06,1,2017-06-20,Maruti,10,Blood Fed,Un-identified,25,6-2017,M06 00004,M06 H00004,34.842,35.673,NA,NA,NA,NA,negative,NA,positive,M06 A00004,34.712,34.218,NA,NA,NA,NA,negative,NA,positive,negative,positive
M06,1,2017-06-20,Maruti,10,Half Gravid,Un-identified,25,6-2017,M06 00005,M06 H00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,M06 A00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M06,1,2017-06-20,Maruti,10,Half Gravid,Un-identified,25,6-2017,M06 00006,M06 H00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,M06 A00006,NA,35.447,NA,NA,NA,NA,negative,NA,positive,negative,positive
M06,1,2017-06-20,Maruti,10,Half Gravid,Un-identified,25,6-2017,M06 00007,M06 H00007,NA,NA,NA,NA,NA,NA,negative,NA,negative,M06 A00007,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M06,1,2017-06-20,Maruti,10,Blood Fed,Un-identified,25,6-2017,M06 00008,M06 H00008,NA,NA,NA,35.728,NA,6e-6,positive,6e-6,negative,M06 A00008,NA,NA,33.055,33.036,2.6e-5,2.6e-5,positive,2.6e-5,negative,positive,negative
M06,1,2017-06-20,Maruti,10,Blood Fed,Un-identified,25,6-2017,M06 00009,M06 H00009,36.15,36.346,NA,NA,NA,NA,negative,NA,positive,M06 A00009,36.58,36.33,NA,NA,NA,NA,negative,NA,positive,negative,positive
M06,1,2017-06-20,Maruti,10,Blood Fed,Un-identified,25,6-2017,M06 00010,M06 H00010,NA,NA,NA,NA,NA,NA,negative,NA,negative,M06 A00010,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M07,1,2017-06-20,Maruti,16,Unfed,Un-identified,25,6-2017,M07 00001,M07 H00001,32.492,32.695,NA,NA,NA,NA,negative,NA,positive,M07 A00001,32.574,32.236,NA,36.911,NA,1.6e-5,positive,1.6e-5,positive,positive,positive
M07,1,2017-06-20,Maruti,16,Unfed,Un-identified,25,6-2017,M07 00002,M07 H00002,35.361,NA,NA,NA,NA,NA,negative,NA,positive,M07 A00002,NA,38.834,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,1,2017-06-20,Maruti,16,Unfed,Un-identified,25,6-2017,M07 00003,M07 H00003,33.224,33.235,NA,NA,NA,NA,negative,NA,positive,M07 A00003,32.689,32.477,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00004,M07 H00004,NA,NA,38.368,NA,8e-6,NA,positive,8e-6,negative,M07 A00004,NA,NA,NA,NA,NA,NA,negative,NA,negative,positive,negative
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00005,M07 H00005,33.112,32.285,36.764,33.498,1.8e-5,8.1e-5,positive,4.9500000000000004e-5,positive,M07 A00005,33.908,33.967,NA,NA,NA,NA,negative,NA,positive,positive,positive
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00006,M07 H00006,34.953,38.267,NA,NA,NA,NA,negative,NA,positive,M07 A00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,positive
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00007,M07 H00007,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00007,32.671,33.146,NA,34.628,NA,6e-6,positive,6e-6,positive,positive,positive
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00008,M07 H00008,33.985,NA,NA,NA,NA,NA,negative,NA,positive,M07 A00008,32.608,32.592,NA,35.836,NA,3e-6,positive,3e-6,positive,positive,positive
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00009,M07 H00009,37.195,34.339,NA,NA,NA,NA,negative,NA,positive,M07 A00009,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,positive
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00010,M07 H00010,32.952,33.148,NA,NA,NA,NA,negative,NA,positive,M07 A00010,NA,33.899,36.622,38.097,2e-6,1e-6,positive,1.5e-6,positive,positive,positive
M07,1,2017-06-20,Maruti,16,Un-identified,Un-identified,25,6-2017,M07 00011,M07 H00011,NA,39.879,NA,NA,NA,NA,negative,NA,positive,M07 A00011,31.512,30.909,36.638,35.988,2e-6,3e-6,positive,2.4999999999999998e-6,positive,positive,positive
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00012,M07 H00012,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00012,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00013,M07 H00013,35.986,NA,NA,NA,NA,NA,negative,NA,positive,M07 A00013,33.602,32.732,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00014,M07 H00014,NA,NA,NA,NA,NA,NA,negative,NA,negative,M07 A00014,34.303,38.622,NA,NA,NA,NA,negative,NA,positive,negative,positive
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00015,M07 H00015,34.8,34.089,NA,36.228,NA,2e-6,positive,2e-6,positive,M07 A00015,37.847,35.731,NA,NA,NA,NA,negative,NA,positive,positive,positive
M07,1,2017-06-20,Maruti,16,Blood Fed,Un-identified,25,6-2017,M07 00016,M07 H00016,34.682,34.637,NA,NA,NA,NA,negative,NA,positive,M07 A00016,34.137,NA,NA,NA,NA,NA,negative,NA,positive,negative,positive
M03,1,2017-06-20,Maruti,3,Unfed,Un-identified,25,6-2017,M03 00001,M03 H00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,M03 A00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M03,1,2017-06-20,Maruti,3,Unfed,Un-identified,25,6-2017,M03 00002,M03 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,M03 A00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M03,1,2017-06-20,Maruti,3,Unfed,Un-identified,25,6-2017,M03 00003,M03 H00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative
M05,1,2017-06-20,Maruti,2,Blood Fed,Un-identified,25,6-2017,M05 00001,M05 H00001,32.288,33.237,NA,NA,NA,NA,negative,NA,positive,M05 A00001,32.43,32.004,NA,NA,NA,NA,negative,NA,positive,negative,positive
M05,1,2017-06-20,Maruti,2,Blood Fed,Un-identified,25,6-2017,M05 00003,M05 H00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,M05 A00003,38.172,NA,NA,NA,NA,NA,negative,NA,positive,negative,positive
M09,1,2017-06-20,Maruti,7,Blood Fed,Un-identified,25,6-2017,M09 00001,M09 H00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,M09 A00001,32.712,32.808,NA,NA,NA,NA,negative,NA,positive,negative,positive
M09,1,2017-06-20,Maruti,7,Blood Fed,Un-identified,25,6-2017,M09 00002,M09 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,M09 A00002,29.83,29.736,29.726,29.31,1.5e-4,1.92e-4,positive,1.7099999999999998e-4,positive,positive,positive
M09,1,2017-06-20,Maruti,7,Gravid,Un-identified,25,6-2017,M09 00003,M09 H00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,M09 A00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M09,1,2017-06-20,Maruti,7,Half Gravid,Un-identified,25,6-2017,M09 00004,M09 H00004,NA,NA,NA,NA,NA,NA,negative,NA,negative,M09 A00004,NA,36.123,NA,NA,NA,NA,negative,NA,positive,negative,positive
M09,1,2017-06-20,Maruti,7,Half Gravid,Un-identified,25,6-2017,M09 00005,M09 H00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,M09 A00005,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M09,1,2017-06-20,Maruti,7,Unfed,Un-identified,25,6-2017,M09 00006,M09 H00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,M09 A00006,NA,NA,NA,38.123,NA,1e-6,positive,1e-6,negative,positive,negative
M09,1,2017-06-20,Maruti,7,Unfed,Un-identified,25,6-2017,M09 00007,M09 H00007,NA,NA,NA,NA,NA,NA,negative,NA,negative,M09 A00007,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M01,1,2017-06-20,Maruti,3,Half Gravid,Un-identified,25,6-2017,M01 00001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01,1,2017-06-20,Maruti,3,Blood Fed,Un-identified,25,6-2017,M01 00002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M01,1,2017-06-20,Maruti,3,Blood Fed,Un-identified,25,6-2017,M01 00003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M15,1,2017-06-20,Maruti,7,Blood Fed,Un-identified,25,6-2017,M15 00001,M15 H00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M15,1,2017-06-20,Maruti,7,Blood Fed,Un-identified,25,6-2017,M15 00002,M15 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00002,34.545,32.495,38.612,NA,1e-6,NA,positive,1e-6,positive,positive,positive
M15,1,2017-06-20,Maruti,7,Blood Fed,Un-identified,25,6-2017,M15 00003,M15 H00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M15,1,2017-06-20,Maruti,7,Blood Fed,Un-identified,25,6-2017,M15 00004,M15 H00004,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00004,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
M15,1,2017-06-20,Maruti,7,Unfed,Un-identified,25,6-2017,M15 00005,M15 H00005,31.723,32.712,39.435,36.145,1e-6,4e-6,positive,2.4999999999999998e-6,positive,M15 A00005,32.882,32.816,38.347,36.523,1e-6,3e-6,positive,2e-6,positive,positive,positive
M15,1,2017-06-20,Maruti,7,Half Gravid,Un-identified,25,6-2017,M15 00006,M15 H00006,NA,NA,NA,NA,NA,NA,negative,NA,negative,M15 A00006,30.67,30.225,NA,NA,NA,NA,negative,NA,positive,negative,positive
M15,1,2017-06-20,Maruti,7,Blood Fed,Un-identified,25,6-2017,M15 00007,M15 H00007,31.691,30.976,NA,NA,NA,NA,negative,NA,positive,M15 A00007,31.95,33.2,NA,NA,NA,NA,negative,NA,positive,negative,positive
M14,1,2017-06-20,Maruti,2,Blood Fed,Un-identified,25,6-2017,M14 00001,M14 H00001,35.361,33.965,36.839,36.647,6e-6,7e-6,positive,6.5000000000000004e-6,positive,M14 A00001,32.413,31.879,NA,NA,NA,NA,negative,NA,positive,positive,positive
M14,1,2017-06-20,Maruti,2,Blood Fed,Un-identified,25,6-2017,M14 00002,M14 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,M14 A00002,32.496,32.546,NA,NA,NA,NA,negative,NA,positive,negative,positive
S04,19,2017-06-21,Sitabicha,1,Blood Fed,Un-identified,25,6-2017,S04 00001,S04 H00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,S04 A00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S03,6,2017-06-21,Sitabicha,1,Unfed,Un-identified,25,6-2017,S03 00001,S03 H00001,34.305,33.825,NA,NA,NA,NA,negative,NA,positive,S03 A00001,34.992,NA,NA,NA,NA,NA,negative,NA,positive,negative,positive
S09,2,2017-06-21,Sitabicha,1,Blood Fed,Un-identified,25,6-2017,S09 00001,S09 H00001,32.468,33.345,NA,NA,NA,NA,negative,NA,positive,S09 A00001,33.641,32.854,NA,NA,NA,NA,negative,NA,positive,negative,positive
S02,6,2017-06-21,Sitabicha,4,Un-identified,Un-identified,25,6-2017,S02 00001,S02 H00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative
S02,6,2017-06-21,Sitabicha,4,Blood Fed,Un-identified,25,6-2017,S02 00002,S02 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,S02 A00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S02,6,2017-06-21,Sitabicha,4,Gravid,Un-identified,25,6-2017,S02 00003,S02 H00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,S02 A00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S02,6,2017-06-21,Sitabicha,4,Blood Fed,Un-identified,25,6-2017,S02 00004,S02 H00004,38.224,NA,NA,NA,NA,NA,negative,NA,positive,S02 A00004,33.274,33.765,NA,NA,NA,NA,negative,NA,positive,negative,positive
S08,4,2017-06-21,Sitabicha,2,Half Gravid,Un-identified,25,6-2017,S08 00001,S08 H00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,S08 A00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S08,4,2017-06-21,Sitabicha,2,Blood Fed,Un-identified,25,6-2017,S08 00002,S08 H00002,32.976,34.407,NA,NA,NA,NA,negative,NA,positive,S08 A00002,32.045,31.668,36.848,36.702,3e-6,3e-6,positive,3e-6,positive,positive,positive
S05,6,2017-06-21,Sitabicha,2,Half Gravid,Un-identified,25,6-2017,S05 00001,S05 H00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,S05 A00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S05,6,2017-06-21,Sitabicha,2,Blood Fed,Un-identified,25,6-2017,S05 00002,S05 H00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,S05 A00002,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
S07,6,2017-06-21,Sitabicha,1,Blood Fed,Un-identified,25,6-2017,S07 00001,S07 H00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,S07 A00001,37.454,37.724,NA,NA,NA,NA,negative,NA,positive,negative,positive
S11,3,2017-06-21,Sitabicha,2,Blood Fed,Un-identified,25,6-2017,S11 00001,S11 H00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,S11 A00001,33.281,33.457,NA,NA,NA,NA,negative,NA,positive,negative,positive
S11,3,2017-06-21,Sitabicha,2,Blood Fed,Un-identified,25,6-2017,S11 00002,S11 H00002,33.115,34.298,35.609,36.651,5e-6,3e-6,positive,4.000000000000001e-6,positive,S11 A00002,33.336,32.793,34.158,33.35,1.1e-5,1.8e-5,positive,1.45e-5,positive,positive,positive
S10,11,2017-06-21,Sitabicha,1,Blood Fed,Un-identified,25,6-2017,S10 00001,S10 H00001,NA,NA,NA,NA,NA,NA,negative,NA,negative,S10 A00001,35.575,35.716,NA,NA,NA,NA,negative,NA,positive,negative,positive
S01,12,2017-06-21,Sitabicha,2,Blood Fed,Un-identified,25,6-2017,S01 00001,S01 H00001,34.906,34.084,NA,NA,NA,NA,negative,NA,positive,S01 A00001,33.97,34.797,NA,NA,NA,NA,negative,NA,positive,negative,positive
S01,12,2017-06-21,Sitabicha,2,Unfed,Un-identified,25,6-2017,S01 00002,S01 H00002,34.475,NA,NA,NA,NA,NA,negative,NA,positive,S01 A00002,38.127,35.075,NA,NA,NA,NA,negative,NA,positive,negative,positive
K10,1,2017-06-27,Kinesamo,1,Blood Fed,Un-identified,26,6-2017,K10 00001,K10 H00001,38.908,NA,NA,NA,NA,NA,negative,NA,positive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,positive
K02,2,2017-06-27,Kinesamo,4,Gravid,Un-identified,26,6-2017,K02 00003,K02 H00003,NA,35.833,NA,NA,NA,NA,negative,NA,positive,K02 A00003,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,positive
K02,2,2017-06-27,Kinesamo,4,Gravid,Un-identified,26,6-2017,K02 00004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K02 A00004,NA,NA,NA,NA,NA,NA,negative,NA,negative,negative,negative
K02,2,2017-06-27,Kinesamo,4,Blood Fed,Un-identified,26,6-2017,K02 00005,K02 H00005,32.897,32.93,NA,NA,NA,NA,negative,NA,positive,K02 A00005,33.842,33.402,NA,37.278,NA,1.4e-5,positive,1.4e-5,positive,positive,positive
K02,2,2017-06-27,Kinesamo,4,Blood Fed,Un-identified,26,6-2017,K02 00006,K02 H00006,34.509,33.926,36.368,36.582,2.1e-5,1.9e-5,positive,1.9999999999999998e-5,positive,K02 A00006,34.289,35.52,NA,NA,NA,NA,negative,NA,positive,positive,positive
K03,1,2017-06-27,Kinesamo,2,Blood Fed,Un-identified,26,6-2017,K03 00002,K03 H00002,37.101,36.335,NA,NA,NA,NA,negative,NA,positive,K03 A00002,34.815,36.27,NA,NA,NA,NA,negative,NA,positive,negative,positive
K03,1,2017-06-27,Kinesamo,2,Blood Fed,Un-identified,26,6-2017,K03 00003,K03 H00003,36.637,37.151,NA,NA,NA,NA,negative,NA,positive,K03 A00003,37.877,38.083,NA,NA,NA,NA,negative,NA,positive,negative,positive
K01,2,2017-06-27,Kinesamo,6,Blood Fed,Un-identified,26,6-2017,K01 00010,K01 H00010,32.414,32.703,NA,35.066,NA,1e-5,positive,1e-5,positive,K01 A00010,32.962,32.903,36.043,36.402,6e-6,5e-6,positive,5.5e-6,positive,positive,positive
